ID,Tool,Category,What_It_Does,Flow_Phase,Cost,Required_Secret,Link
17,OpenAI GPT-4o-mini,LLM via OpenRouter,Cost analysis agent — estimates budget and ops burden,Phase 2 Agent 4,Via OpenRouter,OPENROUTER_API_KEY,https://openai.com
18,Google Gemini 2.5 Pro,LLM via OpenRouter,Community knowledge agent — real-world developer experience,Phase 2 Agent 5,Via OpenRouter,OPENROUTER_API_KEY,https://deepmind.google/gemini
19,Claude Code,AI Coding Agent,Full AI developer that reads repos / writes code / and runs tests,All phases,Paid subscription,,https://claude.ai/code
20,Venice AI,AI Coding Agent,Secondary AI code reviewer. Privacy-focused and runs locally.,Phase 6,Free/Paid,,https://venice.ai
21,postgres-mcp,MCP Database,Lets AI agents run SQL queries on PostgreSQL,Dev/AI phase,Free,DATABASE_URL,https://github.com/modelcontextprotocol/servers
22,sqlite-mcp,MCP Database,Lets AI agents read/write SQLite files locally,Dev/AI phase,Free,SQLITE_DB_PATH,https://github.com/modelcontextprotocol/servers
23,mongodb-mcp,MCP Database,Lets AI agents query MongoDB collections,Dev/AI phase,Free,MONGODB_URI,https://github.com/kiliczsh/mcp-mongo-server
24,redis-mcp,MCP Database,Lets AI agents read/write Redis cache,Dev/AI phase,Free,REDIS_URL,https://github.com/modelcontextprotocol/servers
25,brave-search-mcp,MCP Search,Lets AI agents do real-time web searches via Brave Search API,Phase 2,Free tier / Paid,BRAVE_API_KEY,https://search.brave.com/search/api
26,exa-mcp,MCP Search,Semantic web search designed for AI agents,Phase 2,Usage-based,EXA_API_KEY,https://exa.ai
27,mem0-mcp,MCP Memory,Persistent AI agent memory across sessions,All AI phases,Free/Paid,MEM0_API_KEY,https://mem0.ai
28,filesystem-mcp,MCP Filesystem,Sandboxed file read/write for AI agents,All AI phases,Free,,https://github.com/modelcontextprotocol/servers
29,stripe-mcp,MCP Payments,Lets AI agents query Stripe customer and payment data,Dev/AI phase,Free,STRIPE_SECRET_KEY,https://github.com/stripe/agent-toolkit
30,github-mcp,MCP GitHub,Lets AI agents manage issues / PRs / and repos via GitHub API,All AI phases,Free,GITHUB_TOKEN,https://github.com/github/github-mcp-server
31,slack-mcp,MCP Communication,Lets AI agents send Slack messages and notifications,Notifications,Free,SLACK_BOT_TOKEN,https://github.com/modelcontextprotocol/servers
32,code-review-mcp-server,MCP Custom,Revvel custom code review MCP server. Runs locally.,Phase 6,Free (FOSS),CODE_REVIEW_MCP_PATH,https://github.com/midnghtsapphire/code-review-mcp-server
33,Git,CLI VCS,Version control. Every change is tracked and committed with Git.,All phases,Free,,https://git-scm.com
34,Node.js / npm,CLI Runtime,JavaScript runtime for scripts. Required for research-module.js and other scripts.,Phase 2 + 5,Free,,https://nodejs.org
35,Bash,CLI Shell,Shell scripting. Powers bootstrap-new-project.sh / setup-mcp.sh / and others.,All phases,Free,,https://www.gnu.org/software/bash
36,SSH,CLI Deploy,Secure shell for deploying to DigitalOcean droplets.,Phase 7,Free,SSH_PRIVATE_KEY,https://www.openssh.com
37,PM2,CLI Process Manager,Keeps Node.js web apps running on servers. Restarts on crash.,Phase 7,Free,,https://pm2.keymetrics.io
38,research-module.js,Script Node.js,Runs 5 AI sub-agents via OpenRouter / synthesizes results into a research doc,Phase 2,Free (script),,scripts/research-module.js
39,bootstrap-new-project.sh,Script Bash,Scaffolds a new project from Revvel templates (README / CHANGELOG / CI workflows / etc.),Phase 0,Free (script),,scripts/bootstrap-new-project.sh
40,bootstrap-repo.sh,Script Bash,Similar to bootstrap but targeted at repo-level setup,Phase 0,Free (script),,scripts/bootstrap-repo.sh
41,setup-mcp.sh,Script Bash,Copies the right .mcp.json template into a new project based on project type,Phase 0,Free (script),,scripts/setup-mcp.sh
42,check-compliance.js,Script Node.js,Checks a repo for required Revvel standard files and labels,Phase 5,Free (script),,scripts/check-compliance.js
43,sync-bom.sh,Script Bash,Syncs the Bill of Materials (BOM) across projects,Background,Free (script),,scripts/sync-bom.sh
44,run-human-testing-api.js,Script Node.js,Runs human-in-the-loop testing API endpoints,Phase 5,Free (script),,scripts/run-human-testing-api.js
45,sync-flow-charts.js,Script Node.js,Auto-maintains this folder. Scans docs / updates metadata / patches broken refs / commits.,Phase 8,Free (script),,scripts/sync-flow-charts.js
46,research-module.yml,GitHub Actions Workflow,Runs the AI Research Module (5 agents + synthesis),Manual dispatch,Free,.github/workflows/research-module.yml,
47,ralph-loop.yml,GitHub Actions Workflow,Self-healing CI — auto-invokes Copilot to fix failures / escalates after 5 tries,check_suite failure,Free,.github/workflows/ralph-loop.yml,
48,ready-for-review.yml,GitHub Actions Workflow,Labels PRs as ready for review and assigns reviewers,pull_request,Free,.github/workflows/ready-for-review.yml,
49,create-issue-branch.yml,GitHub Actions Workflow,Creates a branch automatically when a new issue is opened,issues opened,Free,.github/workflows/create-issue-branch.yml,
50,panda-ops.yml,GitHub Actions Workflow,CHANGELOG.md auto-update on every push to main,push to main,Free,.github/workflows/panda-ops.yml,
50a,pr-review-status.yml,GitHub Actions Workflow,Auto-applies review status labels (awaiting-approval / changes-requested / approved) and posts status badges on PRs,pull_request / pull_request_review,Free,.github/workflows/pr-review-status.yml,
50b,pr-review-request-handler.yml,GitHub Actions Workflow,When reviewer requests changes - analyzes all feedback via OpenRouter and generates prioritized fix recommendations,pull_request_review (changes requested),Free,OPENROUTER_API_KEY,.github/workflows/pr-review-request-handler.yml
51,recurse-ml.yml,GitHub Actions Workflow,ML/recursion automation workflow,Scheduled / manual,Free,.github/workflows/recurse-ml.yml,
52,run-human-testing-api.yml,GitHub Actions Workflow,Human testing API runner,Manual,Free,.github/workflows/run-human-testing-api.yml,
53,flow-chart-sync.yml,GitHub Actions Workflow,Auto-syncs flow charts on every push to main,push to main,Free,.github/workflows/flow-chart-sync.yml,
54,DigitalOcean Droplet,Cloud Server,Hosts Revvel web applications. Ubuntu VPS with static IP.,Phase 7,$6-$12 per month,SSH_PRIVATE_KEY,https://digitalocean.com
55,Fastlane,Mobile CI/CD,Automates iOS and Android app submission to App Store and Google Play,Phase 7,Free (FOSS),,https://fastlane.tools
56,Electron Builder,Desktop Packaging,Packages web apps as .exe (Windows) / .dmg (Mac) / .AppImage (Linux),Phase 7,Free (FOSS),,https://www.electron.build
57,Vitest,Test Runner,Fast unit and integration test runner for Vite-based projects,Phase 5,Free (FOSS),,https://vitest.dev
58,Playwright,E2E Testing,End-to-end browser testing (panel data void / UI tests),Phase 5,Free (FOSS),,https://playwright.dev
59,PromptFoo,AI Skill Testing,Tests AI agent skills/prompts with automated assertions,Phase 5 skills,Free (FOSS),,https://promptfoo.dev
60,Swagger / OpenAPI,API Docs,Auto-generates API documentation from source code,Phase 3,Free (FOSS),,https://swagger.io
61,TypeDoc,Code Docs,Auto-generates TypeScript documentation from JSDoc comments,Phase 3,Free (FOSS),,https://typedoc.org
62,pre-commit,Git Hooks,Runs linters and secret scanners before every commit,Phase 5,Free (FOSS),,https://pre-commit.com
63,Supabase,Backend-as-a-Service,PostgreSQL database + auth + storage + realtime,Dev phase,Free / $25 per month,DATABASE_URL,https://supabase.com
64,Stripe,Payments,Payment processing for Revvel token economy and subscriptions,Dev phase,2.9% + $0.30 per transaction,STRIPE_SECRET_KEY,https://stripe.com
65,Twilio,SMS/Voice,SMS notifications and voice calls (via MCP server),Dev phase,Usage-based,TWILIO_AUTH_TOKEN,https://twilio.com
66,SendGrid,Email,Transactional email delivery,Dev phase,Free / Usage-based,SENDGRID_API_KEY,https://sendgrid.com
67,Linear,Project Management,Alternative to GitHub Issues for advanced sprint tracking (via MCP),Phase 4,Free / $8 per user per month,LINEAR_API_KEY,https://linear.app
68,Notion,Knowledge Base,Team knowledge base and documentation hub (via MCP),Phase 3,Free / $8 per user per month,NOTION_API_KEY,https://notion.so
69,Slack,Communication,Team chat and automated notifications (via MCP),Notifications,Free / $7.25 per user per month,SLACK_BOT_TOKEN,https://slack.com
70,Waydev,Git Analytics,Developer activity analytics and reporting from git commits,Monitoring,Paid,,https://waydev.co
71,Mermaid,Diagramming,Renders flow charts and sequence diagrams from text (used in MASTER_FLOW_3D.md),Documentation,Free (FOSS),,https://mermaid.js.org
72,GeekZoneHQ/eisenhower,GitHub Action,Eisenhower Priority Labeler — auto-assigns P1-P4 labels to issues based on Impact x Urgency dropdowns in the issue body (Eisenhower Matrix),Phase 4,Free,GH_ACCESS_TOKEN or GITHUB_TOKEN,https://github.com/GeekZoneHQ/eisenhower
73,Gumroad,Digital Sales,Upload and sell digital products (PDFs / eBooks / guides). Automated checkout and delivery. Payment processing with zero upfront cost.,Phase 7,Free to start; 10% commission per sale,GUMROAD_ACCESS_TOKEN,https://gumroad.com
74,Carrd,Website Builder,Create simple landing pages and online storefronts for digital products. Easy embedding of payment links.,Phase 7,Free (up to 3 sites) / $19 per year Pro,,https://carrd.co
75,ChatGPT,AI Writing,Brainstorm / outline and generate written content for PDF guides / eBooks / and templates.,Phase 2,Free tier / $20 per month Plus,,https://chat.openai.com
76,Claude,AI Writing,Generate and refine written content / structure documents / create technical content for PDFs.,Phase 2,Free tier / $20 per month Pro,,https://claude.ai
77,Canva / Canva AI,Design & PDF Creation,Format AI-generated text into polished PDFs. Create covers / promotional graphics / social media assets.,Phase 2-3,Free tier / $15 per month Pro,CANVA_API_KEY,https://canva.com
78,YouTube,Marketing & Traffic,Create content channels (faceless or traditional) to drive traffic to digital product landing pages. Video descriptions and pinned comments link to storefront.,Phase 8,Free (platform monetization available at 1K+ subs),,https://youtube.com
