Category,Name,Type,URL / Location,What It Does,Required Secret / Notes
MCP Servers,Twilio MCP,MCP Server,.mcp.json,Let AI send SMS messages.,TWILIO credentials
MCP Servers,Stripe MCP,MCP Server,.mcp.json,Let AI read payment data and create charges.,STRIPE_SECRET_KEY
MCP Servers,Shopify MCP,MCP Server,.mcp.json,Let AI manage Shopify stores.,SHOPIFY credentials
MCP Servers,Google Maps MCP,MCP Server,.mcp.json,Let AI search and route using Google Maps.,GOOGLE_MAPS_API_KEY
MCP Servers,Playwright MCP,MCP Server,.mcp.json,Let AI control a web browser (testing + scraping).,None
MCP Servers,Redis MCP,MCP Server,.mcp.json,Let AI use Redis for caching and queuing.,REDIS_URL
MCP Servers,Elasticsearch MCP,MCP Server,.mcp.json,Let AI search Elasticsearch indexes.,ES_URL
MCP Servers,Docker MCP,MCP Server,.mcp.json,Let AI manage Docker containers.,None
Third-Party Platforms,DigitalOcean,Cloud Hosting,digitalocean.com,Runs deployed apps on virtual servers (Droplets).,DO_API_TOKEN
Third-Party Platforms,Cloudflare,CDN / Security,cloudflare.com,Protects the app from attacks + routes traffic + provides free HTTPS.,CF_API_TOKEN
Third-Party Platforms,Supabase,Database / Auth,supabase.com,Hosted Postgres database with built-in authentication. Free tier available.,SUPABASE credentials
Third-Party Platforms,Vercel,Hosting,vercel.com,One-click deploy for Next.js apps. Free tier.,VERCEL_TOKEN
Third-Party Platforms,Netlify,Hosting,netlify.com,Easy deploy for static sites and functions. Free tier.,NETLIFY_TOKEN
Third-Party Platforms,Stripe,Payments,stripe.com,Handles online payments. Used for affiliate and e-commerce.,STRIPE_SECRET_KEY
Third-Party Platforms,Shopify,E-commerce,shopify.com,Runs online stores.,SHOPIFY credentials
Third-Party Platforms,PDFiller,Document Tool,pdffiller.com,Fills and signs PDF forms (legal documents + filings).,PDFiller account
Third-Party Platforms,Waydev,Analytics,waydev.co,Tracks developer activity and output metrics.,WAYDEV_TOKEN
Third-Party Platforms,Tailwind CSS,UI Framework,tailwindcss.com,Makes web apps look good without writing custom CSS.,None
Third-Party Platforms,Next.js,Web Framework,nextjs.org,Full-stack React framework. The standard for Revvel web apps.,None
Third-Party Platforms,Expo,Mobile Framework,expo.dev,Builds iOS and Android apps from one JavaScript codebase.,None
Third-Party Platforms,Vitest,Testing,vitest.dev,Runs fast unit tests.,None
Third-Party Platforms,Playwright,E2E Testing,playwright.dev,Automates browser testing (clicks buttons + checks results).,None
Third-Party Platforms,Kong,API Gateway,konghq.com,FOSS API gateway that controls who can call your APIs.,None
Third-Party Platforms,Sentry,Error Tracking,sentry.io,Catches and reports errors in production automatically.,SENTRY_DSN
Third-Party Platforms,OpenClaw,AI Orchestration,Internal (Revvel),Revvels internal AI orchestration system for running agents.,Internal
